Job,Category,Company,Location,Compensation,Link
Senior Recruiter ,Operations,Yoco,Cape Town,,https://angel.co/company/yoco/jobs/657592-senior-recruiter
Supply Chain Analyst,Operations,Yoco,Cape Town,,https://angel.co/company/yoco/jobs/670438-supply-chain-analyst
Customer Engagement Lead,Operations,Yoco,Cape Town,,https://angel.co/company/yoco/jobs/678917-customer-engagement-lead
Senior Salesforce Architect,Sales,Yoco,Cape Town,,https://angel.co/company/yoco/jobs/628366-senior-salesforce-architect
Senior Software Engineer Technical Lead,Software Engineer,Yoco,Cape Town,$45k – $85k • 0.04% – 0.1%,https://angel.co/company/yoco/jobs/394393-senior-software-engineer-technical-lead
Full-Stack Senior Software Engineer,Software Engineer,Yoco,Cape Town,$55k – $75k • 0.04% – 0.1%,https://angel.co/company/yoco/jobs/394396-full-stack-senior-software-engineer
Business Intelligence Engineer,Software Engineer,Yoco,Cape Town,,https://angel.co/company/yoco/jobs/616189-business-intelligence-engineer
VP of Software Engineering,Software Engineer,Yoco,Cape Town,,https://angel.co/company/yoco/jobs/665425-vp-of-software-engineering
Senior TechOps Engineer,Software Engineer,Yoco,Cape Town,,https://angel.co/company/yoco/jobs/677915-senior-techops-engineer
Head of Product,Other,Yoco,Cape Town,,https://angel.co/company/yoco/jobs/665426-head-of-product
Revenue Analyst,Other,Yoco,Cape Town,,https://angel.co/company/yoco/jobs/670439-revenue-analyst
Senior Data Analyst,Other,Yoco,Cape Town,,https://angel.co/company/yoco/jobs/679764-senior-data-analyst
Intern & Trainee,Operations,Bueths & Kurt CDA,Nairobi,$5k – $10k • No equity,https://angel.co/company/bkcda/jobs/677179-intern-trainee
Consultant - Finance & Accounting,Operations,Bueths & Kurt CDA,Nairobi,$5k – $10k • No equity,https://angel.co/company/bkcda/jobs/677192-consultant-finance-accounting
Staff Trainer,Operations,Bueths & Kurt CDA,Kilifi,$5k – $10k • No equity,https://angel.co/company/bkcda/jobs/677195-staff-trainer
Consultant - Quantitatve Advisor,Other,Bueths & Kurt CDA,Nairobi,$5k – $10k • No equity,https://angel.co/company/bkcda/jobs/677186-consultant-quantitatve-advisor
Consultant - Tax & Legal,Other,Bueths & Kurt CDA,Remote,$5k – $10k • No equity,https://angel.co/company/bkcda/jobs/677190-consultant-tax-legal
Consultant - Auditing & Assurance,Other,Bueths & Kurt CDA,Nairobi,$5k – $10k • No equity,https://angel.co/company/bkcda/jobs/677194-consultant-auditing-assurance
Marketing and Sales Representative s,Marketing,Alpha Super,Nairobi,$3k – $6k • 5.0% – 10.0%,https://angel.co/company/alpha-super/jobs/410518-marketing-and-sales-representative-s
Vacancies For Graduates,Operations,Alpha Super,Nairobi,$6k – $8k • 5.0% – 10.0%,https://angel.co/company/alpha-super/jobs/410511-vacancies-for-graduates
Digital Marketers Required,Operations,Alpha Super,Nairobi,$3k – $6k • 5.0% – 10.0%,https://angel.co/company/alpha-super/jobs/410516-digital-marketers-required
Open Job Vacancies in Nairobi,Operations,Alpha Super,Nairobi,$3k – $6k • 5.0% – 10.0%,https://angel.co/company/alpha-super/jobs/410519-open-job-vacancies-in-nairobi
Job Vacancies For Students,Operations,Alpha Super,Nairobi,$3k – $6k • 5.0% – 10.0%,https://angel.co/company/alpha-super/jobs/410523-job-vacancies-for-students
We're Hiring,Operations,Alpha Super,Nairobi,$3k – $6k • 5.0% – 10.0%,https://angel.co/company/alpha-super/jobs/410524-we-re-hiring
Customer service,Operations,GLH global,Ikeja,$1k – $5k • No equity,https://angel.co/company/glh-global/jobs/504799-customer-service
Business Analyst (Pre-sales),Marketing,SourceFuse ,Noida,₹7L – ₹9L • No equity,https://angel.co/company/sourcefuse/jobs/511887-business-analyst-pre-sales
HR Generalist,Operations,SourceFuse ,Mohali,₹3.5L – ₹7L • No equity,https://angel.co/company/sourcefuse/jobs/461869-hr-generalist
HR Intern,Operations,SourceFuse ,Noida,"₹5,000 – ₹6,000 • No equity",https://angel.co/company/sourcefuse/jobs/584162-hr-intern
HR Manager,Operations,SourceFuse ,Jacksonville,₹8L – ₹10L • No equity,https://angel.co/company/sourcefuse/jobs/620648-hr-manager
HR IT Recruiter,Operations,SourceFuse ,Noida,₹3L – ₹5L • No equity,https://angel.co/company/sourcefuse/jobs/644270-hr-it-recruiter
Technical Support,Other Engineering,SourceFuse ,Sector 62,₹3L – ₹6L • No equity,https://angel.co/company/sourcefuse/jobs/655293-technical-support
