Job,Joblink,Company,Company Link,Job Tags,Date Posted,Compensation
Sales Executive - Mumbai,https://angel.co/company/creditfair/jobs/646831-sales-executive-mumbai,CREDIT FAI₹,https://angel.co/company/creditfair,"Full Time · Mumbai · Communication Skills · Regional Language
·","Posted
7 days
ago",₹1.2L – ₹1.8L · 0.0% – 0.5%
Regional Sales Manager - Bangalore,https://angel.co/company/creditfair/jobs/646822-regional-sales-manager-bangalore,CREDIT FAI₹,https://angel.co/company/creditfair,"Full Time · Mumbai · Communication Skills · Regional Language
·","Posted
7 days
ago",₹2.5L – ₹4L · 0.0% – 0.5%
Regional Sales Manager - Chennai,https://angel.co/company/creditfair/jobs/646821-regional-sales-manager-chennai,CREDIT FAI₹,https://angel.co/company/creditfair,"Full Time · Mumbai · Communication Skills · Regional Language
·","Posted
7 days
ago",₹2.5L – ₹4L · 0.0% – 0.5%
Business Development Lead - Education,https://angel.co/company/creditfair/jobs/639199-business-development-lead-education,CREDIT FAI₹,https://angel.co/company/creditfair,"Full Time · Mumbai · BD Manager · Business Development · Sales Strategy and Management · Education · B2B Sales · Consumer Lending
·



Posted
19 days
ago",,₹5L – ₹10L · 0.25% – 3.0%
Business Development Lead - Healthcare,https://angel.co/company/creditfair/jobs/639198-business-development-lead-healthcare,CREDIT FAI₹,https://angel.co/company/creditfair,"Full Time · Mumbai · BD Manager · Business Development · Sales Strategy and Management · B2B Sales · Healthcare · Consumer Lending
·



Posted
19 days
ago",,₹5L – ₹10L · 0.25% – 3.0%
Marketing Manager,https://angel.co/company/creditfair/jobs/628603-marketing-manager,CREDIT FAI₹,https://angel.co/company/creditfair,"Full Time · Mumbai · Marketing Manager · Content Writing · Digital Marekting · Social Media Marekting
·



Posted
about 1 month
ago",,₹2.16L – ₹2.4L · 0.0% – 0.5%
Regional Sales Manager - Delhi,https://angel.co/company/creditfair/jobs/592684-regional-sales-manager-delhi,CREDIT FAI₹,https://angel.co/company/creditfair,"Full Time · Delhi · Sales Manager · Communication Skills · Regional Language
·



Posted
3 months
ago",,₹2.5L – ₹4L · 0.0% – 0.5%
Back End Developer,https://angel.co/company/creditfair/jobs/586871-back-end-developer,CREDIT FAI₹,https://angel.co/company/creditfair,"Full Time · Mumbai · Backend Developer · PHP · Node.js · LAMP · HTML/CSS/PHP/MYSQL · Laravel · React.js
·



Posted
4 months
ago",,₹4L – ₹6L · 0.0% – 1.0%
QA Engineer,https://angel.co/company/creditfair/jobs/494987-qa-engineer,CREDIT FAI₹,https://angel.co/company/creditfair,"Full Time · Mumbai · QA Engineer · MySQL · Test Automation · Test Cases · Manual Testing · Mobile Application Testing · Agile methodology · API testing · Manual Software testing
·



Posted
9 months
ago",,₹2.5L – ₹5L · 0.0% – 1.0%
Junior Front End Developer,https://angel.co/company/creditfair/jobs/478529-junior-front-end-developer,CREDIT FAI₹,https://angel.co/company/creditfair,"Full Time · Mumbai · Frontend Developer · Javascript · HTML5 & CSS3 · Webservices · React.js · React Native
·



Posted
10 months
ago",,₹3.5L – ₹5L · 0.0% – 1.0%
Head of Engineering,https://angel.co/company/creditfair/jobs/365993-head-of-engineering,CREDIT FAI₹,https://angel.co/company/creditfair,"Cofounder · Mumbai · Software Engineer · CTO · Software Architect · Cloud Computing · Mobile Application Development · Technical Architecture · Data Management
·



Posted
over 1 year
ago",,₹15L – ₹30L · 5.0% – 15.0%
Senior Angular Developer,https://angel.co/company/srks-software-solutions-1/jobs/650824-senior-angular-developer,SRKS Software Solutions,https://angel.co/company/srks-software-solutions-1,"Full Time · Remote possible · Bengaluru · AngularJS · ASP.NET .Net Core 2.0
·","Posted
about 2 hours
ago",₹6L – ₹8L · No equity
Team Lead,https://angel.co/company/srks-software-solutions-1/jobs/206943-team-lead,SRKS Software Solutions,https://angel.co/company/srks-software-solutions-1,"Full Time · Bengaluru · Backend Developer · Full-Stack Developer
·



Posted
over 2 years
ago",,₹6L – ₹8L · 3.0% – 5.0%
Backend Developer,https://angel.co/company/statwig-technology-services/jobs/650820-backend-developer,StaTwig,https://angel.co/company/statwig-technology-service,"Full Time · Hyderabad · Software Engineer · Java · Javascript · HTML · CSS · Node.js · Es6 · Blockchain · Blockchain Technology
·","Posted
about 2 hours
ago",₹2L – ₹4L · No equity
Frontend Engineer,https://angel.co/company/statwig-technology-services/jobs/337826-frontend-engineer,StaTwig,https://angel.co/company/statwig-technology-service,"Full Time · Hyderabad · Frontend Developer · CSS · Node.js · AngularJS · React.js
·



Posted
over 1 year
ago",,₹3L – ₹6L · No equity
Blockchain Engineer- Lead,https://angel.co/company/statwig-technology-services/jobs/202146-blockchain-engineer-lead,StaTwig,https://angel.co/company/statwig-technology-service,"Full Time · Hyderabad · Software Engineer · Blockchain
·



Posted
almost 3 years
ago",,₹6L – ₹10L · No equity
"Business Consultant [Digital marketing, Content marketing, UI/UX Designing]",https://angel.co/company/p2p-inc-2/jobs/650819-business-consultant-digital-marketing-content-marketing-ui-ux-designing,p2p.Inc,https://angel.co/company/p2p-inc-2,"Full Time · Remote possible · Bengaluru · Hyderabad · Chennai · Business Development · Product Development · UI/UX Design · Project Management · Content Marketing · Digital Marketing · Business Strategies
·","Posted
about 2 hours
ago",₹6L – ₹12L · No equity
Software Engineer [Full-stack developer],https://angel.co/company/p2p-inc-2/jobs/644220-software-engineer-full-stack-developer,p2p.Inc,https://angel.co/company/p2p-inc-2,"Full Time · Remote possible · Hyderabad · Chennai · Full-Stack Developer
·



Posted
10 days
ago",,₹4L – ₹12L · No equity
Machine Learning Internship,https://angel.co/company/vernacular-ai/jobs/650815-machine-learning-internship,Vernacular.ai,https://angel.co/company/vernacular-ai,"Full Time · Bengaluru · Software Engineer
·","Posted
about 2 hours
ago","₹25,000 – ₹50,000 · No equity"
Machine Learning role for Software Engineers,https://angel.co/company/vernacular-ai/jobs/650173-machine-learning-role-for-software-engineers,Vernacular.ai,https://angel.co/company/vernacular-ai,"Full Time · Bengaluru · Software Engineer · Machine Learning · Programming · Software Architecture · Computer Science · Language Agnosticism
·","Posted
1 day
ago",₹20L – ₹25L · No equity
Machine Learning Research Engineering Lead,https://angel.co/company/vernacular-ai/jobs/624180-machine-learning-research-engineering-lead,Vernacular.ai,https://angel.co/company/vernacular-ai,"Full Time · Bengaluru · Software Engineer · Machine Learning · Leadership · Natural Language Processing · Language Agnosticism
·



Posted
about 1 month
ago",,₹25L – ₹35L · 0.0% – 0.4%
Machine Learning Research Engineer,https://angel.co/company/vernacular-ai/jobs/624178-machine-learning-research-engineer,Vernacular.ai,https://angel.co/company/vernacular-ai,"Full Time · Bengaluru · Software Engineer · Machine Learning · Language Agnosticism · Natural Language Processing, TensorFlow, Deep Learning
·



Posted
about 1 month
ago",,₹10L – ₹25L · No equity
Director of Sales,https://angel.co/company/vernacular-ai/jobs/624094-director-of-sales,Vernacular.ai,https://angel.co/company/vernacular-ai,"Full Time · Bengaluru · Mumbai · Sales · Lead Generation · Inside Sales · Demand Generation · Sales Training · Client Relations · B2B Sales · Excellent Communication Skills · Cross-Functional Leadership & Collaboration · Outbound Prospecting
·



Posted
about 1 month
ago",,₹40L – ₹60L · No equity
Hybrid App Developer,https://angel.co/company/staff-stuffs/jobs/650804-hybrid-app-developer,Staff Stuffs,https://angel.co/company/staff-stuff,"Full Time · Mumbai · Malad West · Javascript · Core PHP · HTML5 & CSS3 · AngularJS · TypeScript · Ionic Framework · React.js
·","Posted
about 2 hours
ago",₹2.25L – ₹3L · No equity
Gynecologist,https://angel.co/company/all-consultants/jobs/650801-gynecologist,All Consultants,https://angel.co/company/all-consultant,"Full Time · Kerala · CMO
·","Posted
about 2 hours
ago",₹18L – ₹24L · No equity
Software Engineer,https://angel.co/company/everwell-health-solutions/jobs/650788-software-engineer,Everwell Health Solutions,https://angel.co/company/everwell-health-solution,"Full Time · Delhi · Full-Stack Developer
·","Posted
about 3 hours
ago",₹8L – ₹15L · No equity
Senior Software Engineer,https://angel.co/company/everwell-health-solutions/jobs/550090-senior-software-engineer,Everwell Health Solutions,https://angel.co/company/everwell-health-solution,"Full Time · Delhi · Full-Stack Developer
·



Posted
6 months
ago",,₹15L – ₹30L · 0.1% – 0.5%
Senior Software Engineer,https://angel.co/company/everwell-health-solutions/jobs/550081-senior-software-engineer,Everwell Health Solutions,https://angel.co/company/everwell-health-solution,"Full Time · Bengaluru · Full-Stack Developer
·



Posted
6 months
ago",,₹15L – ₹30L · 0.1% – 0.5%
Business Development Analyst,https://angel.co/company/squadvoice/jobs/650782-business-development-analyst,Squad,https://angel.co/company/squadvoice,"Full Time · Delhi · Noida · Business Development · Requirements Gathering and Business Analysis
·","Posted
about 3 hours
ago",₹4.2L – ₹4.8L · No equity
Communication Designer,https://angel.co/company/squadvoice/jobs/650282-communication-designer,Squad,https://angel.co/company/squadvoice,"Full Time · Delhi · Noida · Creative Director · Visual Designer
·","Posted
about 19 hours
ago",₹5L – ₹7L · No equity
Product Manager- Data Science,https://angel.co/company/squadvoice/jobs/638481-product-manager-data-science,Squad,https://angel.co/company/squadvoice,"Full Time · Delhi · Noida · Product Manager
·



Posted
21 days
ago",,₹16L – ₹22L · No equity
Product Manager - Agent UX,https://angel.co/company/squadvoice/jobs/638478-product-manager-agent-ux,Squad,https://angel.co/company/squadvoice,"Full Time · Delhi · Noida · Designer · User Researcher · Product Manager
·



Posted
21 days
ago",,₹16L – ₹22L · No equity
Product Engineer-2 (Frontend),https://angel.co/company/squadvoice/jobs/638469-product-engineer-2-frontend,Squad,https://angel.co/company/squadvoice,"Full Time · Delhi · Noida · Software Engineer · Frontend Developer · Full-Stack Developer · Javascript · CSS · Frontend Development · AngularJS · React.js
·



Posted
21 days
ago",,₹16L – ₹25L · No equity
Product Engineer-2 (Backend),https://angel.co/company/squadvoice/jobs/638465-product-engineer-2-backend,Squad,https://angel.co/company/squadvoice,"Full Time · Delhi · Noida · Software Engineer · Backend Developer · Full-Stack Developer · Python · Django · PostgreSQL · Backend Development
·



Posted
21 days
ago",,₹16L – ₹25L · No equity
Product Engineer-1,https://angel.co/company/squadvoice/jobs/638462-product-engineer-1,Squad,https://angel.co/company/squadvoice,"Full Time · Delhi · Noida · Software Engineer · Backend Developer · Full-Stack Developer
·



Posted
21 days
ago",,₹10L – ₹15L · No equity
Product Manager - SaaS,https://angel.co/company/squadvoice/jobs/638449-product-manager-saas,Squad,https://angel.co/company/squadvoice,"Full Time · Delhi · Noida · Product Manager · UI/UX Designer
·



Posted
21 days
ago",,₹16L – ₹22L · No equity
Marketing Associate,https://angel.co/company/squadvoice/jobs/633431-marketing-associate,Squad,https://angel.co/company/squadvoice,"Full Time · Noida · Marketing · Business Development
·



Posted
29 days
ago",,₹4.2L – ₹4.8L · No equity
Finance lead,https://angel.co/company/squadvoice/jobs/610417-finance-lead,Squad,https://angel.co/company/squadvoice,"Full Time · Noida · Finance/Accounting
·



Posted
2 months
ago",,₹15L – ₹30L · No equity
Project Manager,https://angel.co/company/squadvoice/jobs/599362-project-manager,Squad,https://angel.co/company/squadvoice,"Full Time · Noida · Product Manager
·



Posted
3 months
ago",,₹6L – ₹7L · No equity
CRM Analyst,https://angel.co/company/squadvoice/jobs/591208-crm-analyst,Squad,https://angel.co/company/squadvoice,"Full Time · Noida · Operations
·



Posted
3 months
ago",,₹3.2L – ₹3.8L · No equity
Quality Assurance Associate,https://angel.co/company/squadvoice/jobs/562276-quality-assurance-associate,Squad,https://angel.co/company/squadvoice,"Full Time · Noida · QA Engineer
·



Posted
5 months
ago",,₹3L – ₹4.5L · No equity
Growth and Strategy Associate,https://angel.co/company/squadvoice/jobs/548368-growth-and-strategy-associate,Squad,https://angel.co/company/squadvoice,"Full Time · Delhi · Noida · Operations · Growth Hacker · Project Manager · Data Analysis · Entrepreneurship · Business Analysis
·



Posted
6 months
ago",,₹4.2L – ₹7.2L · 0.05% – 0.1%
Business Operation Analyst,https://angel.co/company/squadvoice/jobs/422022-business-operation-analyst,Squad,https://angel.co/company/squadvoice,"Full Time · Noida · Operations
·



Posted
about 1 year
ago",,₹3L – ₹4L · No equity
Business Operations Specialist,https://angel.co/company/squadvoice/jobs/129981-business-operations-specialist,Squad,https://angel.co/company/squadvoice,"Full Time · Delhi · Noida · Operations
·



Posted
over 3 years
ago",,₹3L – ₹4L · No equity
Intern – Mechanical Design Engineer,https://angel.co/company/nimble-vision/jobs/650772-intern-mechanical-design-engineer,Nimble Vision,https://angel.co/company/nimble-vision,"Internship · Bengaluru · MS Office · Autocad · Microsoft Excel
·","Posted
about 3 hours
ago","₹96,000 – ₹96,000 · No equity"
Intern for Web Development,https://angel.co/company/nimble-vision/jobs/637694-intern-for-web-development,Nimble Vision,https://angel.co/company/nimble-vision,"Internship · Bengaluru
·



Posted
22 days
ago",,"₹96,000 – ₹96,000 · 0.1% – 0.2%"
Intern – IoT Development,https://angel.co/company/nimble-vision/jobs/637689-intern-iot-development,Nimble Vision,https://angel.co/company/nimble-vision,"Internship · Bengaluru · Software Engineer
·



Posted
22 days
ago",,"₹96,000 – ₹96,000 · 0.1% – 0.2%"
Earn referring clients,https://angel.co/company/kelixdesignx/jobs/650638-earn-referring-clients,Kelixdesignx,https://angel.co/company/kelixdesignx,"Full Time · Remote possible · Nigeria · Lagos · Rivers · E-Commerce · Communication Skills · Client Relations · Client Relationship Management · Follow up with clients and prospects
·","Posted
about 8 hours
ago",$1k – $3k · 15.0% – 30.0%
Data Analyst,https://angel.co/company/red-swan-labs/jobs/650585-data-analyst,Red Swan Labs,https://angel.co/company/red-swan-la,"Full Time · New Delhi · Python · Microsoft Excel · Linked In Sales Navigator
·","Posted
about 11 hours
ago",₹2L – ₹4L · No equity
NLP Developer,https://angel.co/company/red-swan-labs/jobs/650584-nlp-developer,Red Swan Labs,https://angel.co/company/red-swan-la,"Full Time · New Delhi · Software Engineer · Python · NLP
·","Posted
about 11 hours
ago",₹3L – ₹8L · No equity
Software Development Intern,https://angel.co/company/red-swan-labs/jobs/630237-software-development-intern,Red Swan Labs,https://angel.co/company/red-swan-la,"Internship · Delhi · Backend Developer · Python · Java · Selenium · AWS/EC2/ELB/S3/DynamoDB · Mobile/Web: Android REST APIs JSON XML · API Testing by Postman Tool · Python Web Scraping (Beautiful Soup/Scrapy)
·



Posted
about 1 month
ago",,"₹36,000 – ₹63,000 · No equity"
co-founders COO / CFO / CMO / Sales / CTO for cutting edge recruitment platform,https://angel.co/company/alent-io/jobs/650547-co-founders-coo-cfo-cmo-sales-cto-for-cutting-edge-recruitment-platform,alent.io,https://angel.co/company/alent-i,"Cofounder · Remote possible · London · Operations · Software Development · Product Marketing · Product Development · Business Operations · Operations Management · Sales and Marketing · Financial Modeling · Venture Capital · Marketing Management
·","Posted
about 12 hours
ago",No salary · No equity
