Job,Company,Location,Days posted
BBV Outreach Support Worker - RIDU,NHS,"Western Province, KE",New
Bartender,Accor Hotels,"Nanyuki, KE",6d
"Production Manager, Key Account Manager Retail at Puratos",Puratos,"Nairobi, KE",1d
Assistant Bar Manager - Nairobi,Accor Hotels,"Nairobi, KE",4d
CG1736 - 008487 - Consultant Microbiologist,NHS,"Western Province, KE",5d
"Facilitators, Assessors and Moderators",Private,"Eastern Province, KE",New
Sales Executive at Tata Africa Holdings,Tata Africa Holdings,"Nairobi, KE",3d
Finance Business Partner - VIE Contract - Nairobi,Genzyme,"Nairobi, KE",2d
Assistant Manager Experienced,MDM Multi Sourcing,"Eastern Province, KE",New
Fleet Manager - East London,Finovate People,"Eastern Province, KE",1d
Area Manager- Visayas And Mindanao,Aspiree Inc.,"Western Province, KE",2d
Transport Planner,Diageo,"Nairobi, KE",3d
Senior Property Manager,Tink Recruitment,"Eastern Province, KE",2d
Finance Business Partner - VIE Contract - Nairobi,Genzyme Corporation,"Nairobi, KE",2d
Duty Manager WNR2016,What Next Recruitment,"Eastern Province, KE",1d
008541 Personal Assistant - Oncology,NHS,"Western Province, KE",6d
008046 Technical Support Worker - Endoscopy,NHS,"Western Province, KE",5d
Spa Attendant - Nanyuki,Accor Hotels,"Nanyuki, KE",6d
UHT Shift Technician,Higher Intelligence Johannesburg,"Western Province, KE",4d
Chief Accountant Kenya - Nairobi,PURATOS,"Nairobi, KE",1d
Molding Process Technician,Aegis Worldwide,"Western Province, KE",1d
C++ (With C#) Developer,Communicate Cape Town IT,"Western Province, KE",1d
Comptable,SOCIETE DES EXTINCTEURS ANDRIEU,"Meru, KE",3d
Credit Risk Manager,Lending Institution based in Kenya,Kenya,6d
Clinical Support Worker - Regional Infectious Diseases Unit (RIDU),NHS,"Western Province, KE",New
EiB call for Consultants,International Maize and Wheat Improvement Center,"Nairobi, KE",3d
Management Couple - Boutique Hotel / Lodge - Eastern Cape (ZJ - 1065),Zeebra Junction,"Eastern Province, KE",3d
Sales Consultant,Salesforce Recruitment,"Western Province, KE",1d
Customer Service Advisor,Full Circle Contact Centre Services LTD,"Western Province, KE",1d
Sales Executive,Kazang,"Western Province, KE",1d
Manufacturing Engineer,King Recruitment Solutions,"Eastern Province, KE",1w
Community Health Aide - Atria Park of Great Neck,"Atria Management Company, LLC","Western Province, KE",1d
Engage Life Program Instructor - Atria on Roslyn Harbor,"Atria Management Company, LLC","Western Province, KE",2d
General Manager,Ad Hoc Client,"Eastern Province, KE",1d
"Project Managers -1 Richmond, KZN: 2 Queensmercy, EC: 1 Hogsback, EC",LANDVISTA NPC t/a LANDWORKS,"Eastern Province, KE",1d
Maintenance Technician,King Recruitment Solutions,"Eastern Province, KE",1w
General Practitioner - Landmark luxury location - Private Billings 70%,Douglas Healthcare,"Eastern Province, KE",New
1:1 SEN Teaching Assistant,REED,"Western Province, KE",New
Bûcheron / Bûcheronne (H/F),NET EUROP SERVICES,"Meru, KE",4d
Specialist Consultant - General practice - emergency medicine,Kununurra Hospital - WA,"Western Province, KE",3d
Specialist Consultant - Surgery - orthopaedic,Kalgoorlie Regional Hospital,"Western Province, KE",4d
Jr Sous Chef - Nanyuki,Accor Hotels,"Nanyuki, KE",6d
Principal Accountant at Salaries and Remuneration Commission,Salaries And Remuneration Commission,"Nairobi, KE",2d
Construction Manager - Nairobi,NFT Consult,"Nairobi, KE",3d
SAICA / SAIPA Articled Clerks,Placement Point Ltd,"Western Province, KE",1d
Restaurant Coordinator - Atria Cutter Mill,"Atria Management Company, LLC","Western Province, KE",New
Specialist Consultant - Emergency medicine,Kalgoorlie Regional Hospital,"Western Province, KE",5d
Porter/Driver - Logistics,NHS,"Western Province, KE",6d
Assistant Sales Executive at Baus Optical,Baus Optical,"Nairobi, KE",1d
"Principal Accountant, Head of Accounting & Finance at Salaries and Remuneration Commission",Salaries And Remuneration Commission,"Nairobi, KE",1d
009020 Ward Clerk - Ward 15,NHS,"Western Province, KE",New
F and I Business Manager,FMCT RECRUITMENT,"Western Province, KE",4d
Mechanical Engineering Fellow,Burn Manufacturing,"Ruiru, KE",4d
Head of Finance & Administration at Moko Home,Moko Homes,"Nairobi, KE",6d
Commis Chef - Nairobi,Accor Hotels,"Nairobi, KE",6d
Financial Demand Planner,Communicate Cape Town Finance,"Western Province, KE",1d
QSSK-QSS-TO TELEPHONE OPERATOR - Nairobi,Q-Sourcing Servtec,"Nairobi, KE",3d
Financial Adviser (Salaried Commission),Ultimate Searching Consulting T/A Strike Holdings,"Western Province, KE",1d
Warehouse Coordinator,NDC Personnel & Contractors CC,"Eastern Province, KE",3d
"Chief of Party, USAID/Kenya Youth Activity - Nairobi",IREX,"Nairobi, KE",3d
Sales Team Leader,Pro Placements Recruitment Agency,"Western Province, KE",1d
Medical Secretary - Neurosciences,NHS,"Western Province, KE",6d
Room Attendant - Nanyuki,Accor Hotels,"Nanyuki, KE",6d
Caregiver - Atria Glen Cove,"Atria Management Company, LLC","Western Province, KE",1d
Moniteur éducateur / Monitrice éducatrice,DIRECTION REGIONALE NORD,"Meru, KE",4d
Specialist Consultant - O & G - Obstetrics and gynaecology,Karratha Health Campus,"Western Province, KE",2d
Fitter and Turner,TSM Consulting,"Western Province, KE",1d
Senior Marketing Manager at Moko Home + Living,Moko Homes,"Nairobi, KE",1d
Catering Manager - Clanwilliam,Feedem Group,"Western Province, KE",1d
Destruction Technician 1 - Staffing the Universe,Staffing the Universe,"Nakuru, KE",2d
Assistant / Assistante de vie auprès de personnes âgées,ESPACE SOMME,"Meru, KE",4d
préparateur de commandes - livreur (h/f) H/F,destock export development,"Meru, KE",4d
Sales & Marketing Officer (Sacco Society),Skills Geographic,"Nairobi, KE",2d
Medical Secretary - Oncology,NHS,"Western Province, KE",6d
Claims Consultant (Personal Lines & Commercial),Ultimate Searching,"Western Province, KE",1d
New Car Sales Executive,FMCT RECRUITMENT,"Western Province, KE",4d
Coiffeur / Coiffeuse (H/F),INTERMEDE MERU,"Meru, KE",4d
Medical Secretary Urology,NHS,"Western Province, KE",3d
Maintenance Supervisor,King Recruitment Solutions,"Eastern Province, KE",1d
Ingénieur / Ingénieure méthodes et process (H/F),GCA SUPPLY LOGISTICS,"Meru, KE",3d
Liquor Store Manager,MJM Recruitment,"Eastern Province, KE",1d
Specialist Consultant - Psychiatry,Kalgoorlie Regional Hospital,"Western Province, KE",4d
SHE Foreman,TSM Consulting,"Western Province, KE",1d
Comptable (H/F),COBAT CONSTRUCTIONS,"Meru, KE",4d
Specialist Consultant General practice - anaesthetics,Derby Hospital WA,"Western Province, KE",3d
Pharmacy Technician (Higher Level) - Pharmacy,NHS,"Western Province, KE",4d
Head of Accounting & Finance at Salaries and Remuneration Commission,Salaries And Remuneration Commission,"Nairobi, KE",2d
Specialist Consultant - General practice - anaesthetics,Derby Hospital WA,"Western Province, KE",3d
Physiotherapy Team Lead,NHS,"Western Province, KE",6d
Site Suprintendent,NFT Consult,"Nairobi, KE",3d
SMO/MOSS - Emergency medicine,Karratha Health Campus,"Western Province, KE",2d
SMO/MOSS - Emergency medicine,Karratha Health Campus,"Western Province, KE",2d
Shift Technician,NDC Personnel & Contractors CC,"Eastern Province, KE",3d
Engineering Services Manager at Uniliver,Uniliver,"Nairobi, KE",1d
"008708 Pharmacy Technician, Pharmacy",NHS,"Western Province, KE",4d
Spa Supervisor - Nanyuki,Accor Hotels,"Nanyuki, KE",6d
Financial Advisor / Sales Executive,Liberty Financial Advisers,"Eastern Province, KE",1d
Chauffeur-livreur préparateur / Chauffeuse-livreuse préparatrice de commande,destock export development,"Meru, KE",4d
Corporate Sales Executive,Milestone Commodities Limited,"Nairobi, KE",2d
Chief Engineer - Nanyuki,Accor Hotels,"Nanyuki, KE",6d
Duty Manager - 5* Game Lodge - Eastern Cape (ZJ -1110),Zeebra Junction,"Eastern Province, KE",3d
Head Chef - Luxury 5 Star Lodge / Camp - Eastern Cape (ZJ- 1088),Zeebra Junction,"Eastern Province, KE",3d
Temp Warehouse Supervisor (Ref:1682),NDC PERSONNEL & CONTRACTORS,"Western Province, KE",4d
Barbecue Cook,Hotel Accra Nairobi,"Kasarani, Nairobi, Kenya",2d
Métreur / Métreuse (H/F),COBAT CONSTRUCTIONS,"Meru, KE",4d
Commercial / Commerciale auprès des particuliers (H/F),FPP,"Meru, KE",3d
Préparateur En Pharmacie (H/F) en Pharmacie dOfficine - CDD Temps plein - France (60110),Club Officine,"Meru, KE",1d
Technicien / Technicienne en chauffage (H/F),AXENERGIE,"Meru, KE",4d
Claims Consultant Commercial Claims,Ultimate Search Consultants,"Western Province, KE",1d
Stagiaire ingénieur hse et risques industriels h/f,ams france,"Meru, KE",1d
CG 1737 - 008504 - Consultant Microbiologist (Part time),NHS,"Western Province, KE",5d
Server/Waitstaff - Atria Park of Great Neck,"Atria Management Company, LLC","Western Province, KE",1d
Directeur / Directrice des programmes immobiliers,COREM PROMOTION,"Meru, KE",4d
Senior Debtors Administrator,Pro Placements Recruitment Agency,"Western Province, KE",1d
Auxiliaire de vie (H/F),DOMALIANCE/DOMALIANCE PICARDIE,"Meru, KE",4d
Speech and Language Therapist,NHS,"Western Province, KE",3d
Specialist Consultant - General practice - anaesthetics,Kununurra Hospital - WA,"Western Province, KE",3d
Specialist Consultant - General practice - anaesthetics,Kununurra Hospital - WA,"Western Province, KE",3d
Préparateur En Pharmacie (H/F) en Pharmacie dOfficine - CDD Temps plein - France (60110),Club Officine,"Meru, KE",5d
Kitchen Hand - Ipswich - Bolton Clarke,Bolton Clarke,"Nakuru, KE",2d
Specialist Consultant - General practice - obstetrics and gynaecology,Derby Hospital WA,"Western Province, KE",3d
Avocado Nursery Manager,AgriSTAFF,"Eastern Province, KE",New
Shift Manager,NDC PERSONNEL & CONTRACTORS,"Western Province, KE",1d
Juice Plant Supervisor - Grabouw,Peoplefinder Career Placements,"Western Province, KE",1d
SMO/MOSS - Emergency medicine,Geraldton Regional Hospital WA,"Western Province, KE",4d
"PART-TIME PHARMACIST | $38.00 P/H | EASTERN SUBURBS, NSW",Gorilla Jobs,"Eastern Province, KE",6d
Chargé / Chargée de prospection et de développement foncier,COREM PROMOTION,"Meru, KE",4d
Sous Chef,Accor Hotels,"Nairobi, KE",6d
Trailer Driver,Westcon Contractors Ltd,"Nairobi, KE",1d
Shift Manager,NDC Personnel & Contractors CC,"Eastern Province, KE",3d
Educateur sportif / Educatrice sportive (H/F),OB RESEAUX,"Meru, KE",1d
Maintenance Fitter,King Recruitment Solutions,"Eastern Province, KE",1w
Server/Waitstaff - Atria on Roslyn Harbor,"Atria Management Company, LLC","Western Province, KE",2d
Conducteur routier / Conductrice routière (H/F),AMBROISE BOUVIER TRANSPORTS,"Meru, KE",4d
Specialist Consultant - General practice - obstetrics and gynaecology,Kununurra Hospital - WA,"Western Province, KE",3d
controleur qualité (H/F),SOCIETE DES EXTINCTEURS ANDRIEU,"Meru, KE",4d
QQSK-QSS-QA QUALITY ASSURANCE AGENT,Q-Sourcing Servtec,"Nairobi, KE",2d
Senior Clinical Nurse Specialist,NHS,"Western Province, KE",New
Lead Pharmacist Medical Education,NHS,"Western Province, KE",1d
Registrar - Intensive care medicine,Rockingham General Hospital WA,"Western Province, KE",4d
Registered Nurse ICU Qualified - East London Eastern Cape,Posted by LetsLink Medical Recruitment Agency,"Eastern Province, KE",1d
PHARMACIST IN CHARGE | EASTERN SUBURBS | $45.00 P/H,Gorilla Jobs,"Eastern Province, KE",6d
Stage : Conseiller Immobilier Indépendant h/f 90% de com. pack offert,Global Immobilier,"Meru, KE",1d
008405 Nurse Specialist - Infectioius Diseases,NHS,"Western Province, KE",5d
Deputy Charge Nurse - Ward 54,NHS,"Western Province, KE",3d
Med Tech - Atria Plainview,"Atria Management Company, LLC","Western Province, KE",2d
009021 Deputy Charge Nurse,NHS,"Western Province, KE",New
Mobile Mechanic,FLB Automotive Recruitment,"Eastern Province, KE",3d
Server/Waitstaff - Atria Plainview,"Atria Management Company, LLC","Western Province, KE",2d
Deputy Charge Nurse - Oncology,NHS,"Western Province, KE",3d
"Senior Research Nurse, GI & Endoscopy",NHS,"Western Province, KE",4d
Stage : Conseiller Immobilier Indépendant h/f 90% de com. pack offert,Global Immobilier,"Meru, KE",5d
"Specialist Physiotherapist - Cystic Fibrosis Team, Ward 54",NHS,"Western Province, KE",4d
Educateur spécialisé / Educatrice spécialisée,DIRECTION REGIONALE NORD,"Meru, KE",4d
Stagiaire ingénieur hse et risques industriels h/f,ams france,"Meru, KE",5d
Stage : Conseiller Immobilier Indépendant h/f 90% de com. pack offert,Global Immobilier,"Meru, KE",2d
SMO/MOSS - Emergency medicine,Karratha Health Campus,"Western Province, KE",2d
Boulanger h/f,Boulangerie Louise,"Meru, KE",4d
Stage : Conseiller Immobilier Indépendant h/f 90% de com. pack offert,Global Immobilier,"Meru, KE",3d
Stage : Conseiller Immobilier Indépendant h/f 90% de com. pack offert,Global Immobilier,"Meru, KE",4d
Préparateur En Pharmacie (H/F) en Pharmacie dOfficine - CDD Temps plein - France (60110),Club Officine,"Meru, KE",2d
Préparateur En Pharmacie (H/F) en Pharmacie dOfficine - CDD Temps plein - France (60110),Club Officine,"Meru, KE",6d
Stage : Conseiller Immobilier Indépendant h/f 90% de com. pack offert,Global Immobilier,"Meru, KE",6d
Stagiaire ingénieur hse et risques industriels h/f,ams france,"Meru, KE",2d
Boulanger h/f,Boulangerie Louise,"Meru, KE",5d
Registrar - Intensive care medicine,Rockingham General Hospital WA,"Western Province, KE",4d
Préparateur En Pharmacie (H/F) en Pharmacie dOfficine - CDD Temps plein - France (60110),Club Officine,"Meru, KE",4d
Stagiaire ingénieur hse et risques industriels h/f,ams france,"Meru, KE",6d
Préparateur En Pharmacie (H/F) en Pharmacie dOfficine - CDD Temps plein - France (60110),Club Officine,"Meru, KE",3d
Stagiaire ingénieur hse et risques industriels h/f,ams france,"Meru, KE",4d
SMO/MOSS - Emergency medicine,Karratha Health Campus,"Western Province, KE",2d
Drivers at AA Kenya,AA Kenya,"Nairobi, KE",3d
Bartender,Accor Hotels,"Nairobi, KE",4d
QSSK-MP-HRA HR ADMINISTRATOR,Q-Sourcing Servtec,"Nairobi, KE",5d
Boulanger h/f,Boulangerie Louise,"Meru, KE",6d
PROJECT MANAGER - REF: PM/01/11/2019,CARE International in Kenya,"Nairobi, KE",3d
Special Education Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",2d
School Leadership,"Department of Health & Human Services, Victoria","Western Province, KE",1d
Classroom Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",2d
Teacher Aide,"Department of Health & Human Services, Victoria","Western Province, KE",2d
Classroom Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",5d
Classroom Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",3d
Graduate Teacher Program,"Department of Health & Human Services, Victoria","Western Province, KE",6d
HAPE and Outdoor Education Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",2d
Graduate Teacher Program,"Department of Health & Human Services, Victoria","Western Province, KE",1d
Classroom Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",6d
Classroom Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",2d
HAPE and Outdoor Education Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",1d
Classroom Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",1d
Graduate Teacher Program,"Department of Health & Human Services, Victoria","Western Province, KE",2d
Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",2d
English and Humanities Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",2d
Classroom Teacher - Maths and Science,"Department of Health & Human Services, Victoria","Western Province, KE",2d
Staff Dev and Wellbeing Coord,"Department of Health & Human Services, Victoria","Western Province, KE",3d
Classroom Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",6d
Classroom Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",6d
Classroom Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",5d
Classroom Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",6d
Teacher Aide,"Department of Health & Human Services, Victoria","Western Province, KE",6d
Classroom Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",3d
Classroom Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",3d
Classroom Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",New
Graduate Teacher Program,"Department of Health & Human Services, Victoria","Western Province, KE",6d
Teacher Aide,"Department of Health & Human Services, Victoria","Western Province, KE",2d
Teacher Aide,"Department of Health & Human Services, Victoria","Western Province, KE",1d
Graduate Teacher Program,"Department of Health & Human Services, Victoria","Western Province, KE",2d
Graduate Teacher Program,"Department of Health & Human Services, Victoria","Western Province, KE",3d
Graduate Teacher Program,"Department of Health & Human Services, Victoria","Western Province, KE",3d
Classroom Teacher Range 2,"Department of Health & Human Services, Victoria","Western Province, KE",6d
Ed Support Level 1-Range 1,"Department of Health & Human Services, Victoria","Western Province, KE",2d
Classroom Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",2d
Graduate Teacher Program,"Department of Health & Human Services, Victoria","Western Province, KE",1d
Classroom Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",6d
Sport Coordination / Integration,"Department of Health & Human Services, Victoria","Western Province, KE",2d
Classroom Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",6d
Classroom Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",6d
Classroom Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",5d
Classroom Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",6d
Literacy Leader and VCE English Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",2d
Classroom Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",3d
Classroom Teacher - Maths and Science,"Department of Health & Human Services, Victoria","Western Province, KE",3d
Classroom Teacher - Maths and Science,"Department of Health & Human Services, Victoria","Western Province, KE",1d
Daily Organisation / OHS,"Department of Health & Human Services, Victoria","Western Province, KE",1d
Senior Sales Director - Aerospace,Pall Corporation,"Eastern Province, KE",6d
Senior Sales Director - Aerospace,Pall Corporation,"Western Province, KE",6d
Director Of Engineering,BURN Manufacturing,"Nairobi, Kenya",4d
Classroom Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",1d
Classroom Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",New
classroom teacher,"Department of Health & Human Services, Victoria","Western Province, KE",1d
Graduate Teacher Program,"Department of Health & Human Services, Victoria","Western Province, KE",6d
Teacher Grad Recruit Program,"Department of Health & Human Services, Victoria","Western Province, KE",5d
Graduate Teacher Program,"Department of Health & Human Services, Victoria","Western Province, KE",6d
Graduate Teacher Program,"Department of Health & Human Services, Victoria","Western Province, KE",2d
Graduate Teacher Program,"Department of Health & Human Services, Victoria","Western Province, KE",2d
Teacher Grad Recruit Program,"Department of Health & Human Services, Victoria","Western Province, KE",2d
Graduate Teacher Program,"Department of Health & Human Services, Victoria","Western Province, KE",3d
Graduate Teacher Program,"Department of Health & Human Services, Victoria","Western Province, KE",3d
Graduate Teacher Program,"Department of Health & Human Services, Victoria","Western Province, KE",1d
Graduate Teacher Program,"Department of Health & Human Services, Victoria","Western Province, KE",1d
Graduate Teacher Program,"Department of Health & Human Services, Victoria","Western Province, KE",New
Graduate Teacher Program,"Department of Health & Human Services, Victoria","Western Province, KE",1d
Ed Support Level 1-Range 1,"Department of Health & Human Services, Victoria","Western Province, KE",1d
Integration Aide,"Department of Health & Human Services, Victoria","Western Province, KE",2d
Sport Coordination / Integration,"Department of Health & Human Services, Victoria","Western Province, KE",1d
"Mineral Process Engineer – Chemical Engineers and/or Metallurgists with Degrees (Lutzville, West Coa",West Coast Personnel,"Western Province, KE",1d
Registered Nurse,HC One Enterprises,"Western Province, KE",4d
Registered Nurse,HC One Enterprises,"Western Province, KE",4d
Care Assistant,HC One Enterprises,"Western Province, KE",2d
Director of Research,BURN Manufacturing,"Nairobi, Kenya",4d
Care Assistant,HC One Enterprises,"Western Province, KE",6d
HR & Admin Manager - Downstream Petroleum,SET Consulting SA,"Nakuru, KE",New
"Backend Engineer, Defend",GitLab Inc.,"Nairobi, KE",New
Registered Nurse,HC One Enterprises,"Western Province, KE",1d
Care Assistant,HC One Enterprises,"Western Province, KE",New
"Frontend Engineer, Defend",GitLab Inc.,"Nairobi, KE",New
Registered Nurse,HC One Enterprises,"Western Province, KE",6d
Registered Nurse,HC One Enterprises,"Western Province, KE",New
Agent accueil h/f,SUPPLAY,"Meru, KE",6d
Assistant adv et logistique h/f,Manpower,"Meru, KE",6d
Assistant adv et logistique h/f,Manpower,"Meru, KE",4d
Conseiller en immobilier,Corp. immobilier,"Meru, KE",4d
Merchandising Supervisor,Your Career Direction,"Eastern Province, KE",3d
Senior Credit Relationship Officer at Old Mutual Kenya,Old Mutual Kenya,"Nairobi, KE",4d
Assistant adv et logistique h/f,Manpower,"Meru, KE",2d
Store Manager,SWITCH CONSULTING RECRUITMENT LIMITED,"Western Province, KE",1d
Assistant adv et logistique h/f,Manpower,"Meru, KE",1d
Agent accueil h/f,SUPPLAY,"Meru, KE",1d
