Job,Company,Location,Days posted
"Gap Leader Technique (H/F), Meru",Adecco,"Meru, KE",6d
Sales Account Relationship Manager,Safaricom PLC,"Nairobi, KE",New
Software Development Intern,Choose Nadia,"Pangani, Nairobi, Nairobi, Kenya",2d
TEMPORÄR - IT-SERVICE-DESK SPEZIALIST(IN) - Eastern Switzerland,Der Profi Personalmanagement AG,"Eastern Province, KE",6d
Supply Chain Analyst,Tumaini Consulting,"Western Province, KE",1d
Export Operations,People in Focus,"Eastern Province, KE",2d
Research Associate II- Laboratory Technician,International Livestock Research Institute (ILRI),"Nairobi, KE",6d
Quality Control Analyst at Sphinx Pharmaceuticals,Sphinx Pharmaceuticals,"Nairobi, KE",4d
"Regional Director, New Country Expansion",Living Goods,"Nairobi, KE",1d
Installation Inspector at Kenya Power,Kenya Power,"Nairobi, KE",1d
Agent accueil h/f,SUPPLAY,"Meru, KE",4d
ACCOUNTANT with excellent CASEWEAR knowledge,Sharon Inc.,"Eastern Province, KE",6d
Technical Demonstrator - Automotive Refinish,BASF,"Western Province, KE",3d
Human Resource/Talent & Culture Internship - Nanyuki,Accor Hotels,"Nanyuki, KE",6d
Front Office Coordinator - Professional Career Services,Professional Career Services,"Eastern Province, KE",2d
"Antimicrobial Resistance Diagnostics and Surveillance Advisor- Nairobi, Kenya",ICF,"Nairobi, KE",2d
Sales Rep FMCG,Black Tie Group,"Eastern Province, KE",New
Spa Manager,Kempinski Hotels,"Nairobi, KE",6d
Head of Construction,RA International,"Nairobi, Kenya",5d
Deputy Operations Manager- Workshop,PEAK DMC,Kenya,New
Logistics Officer,Albemarle Corporation,"Western Province, KE",3d
Sale Support Team,Next,"Western Province, KE",1d
Aviation Protection Officer,MSS Security,"Western Province, KE",1d
Internal Auditor at Konza,Konza Technopolis Development Authority,"Nairobi, KE",2d
Assistant Director Of Pensions at Public Service Commission,Pensacola State College,"Nairobi, KE",4d
"Pilot, Mission Aviation Services, East Africa (Uganda/Kenya)",Samaritan's Purse,"Eldoret, KE",New
Warehouse Casuals at Kilimall,Kilimall,"Nairobi, KE",2d
Legal Officer at United Nations Environment Programme,UN Environment Programme,"Nairobi, KE",1d
Assistant adv et logistique h/f,Manpower,"Meru, KE",5d
Warehouse Utility,Business Staffing and Management Inc.,"Eastern Province, KE",5d
Client Success Manager IT,ProDevelopment Group,"Western Province, KE",4d
Sr CRA (Level I) - Kenya,PPD,"Nairobi, KE",3d
Fleet Manager - East London,Finovate ,"Eastern Province, KE",New
Financial Planner,Liberty Advisers Inc.,"Western Province, KE",1d
Consultancy to support UNICEF Country offices in Eastern and Southern Africa in the mainstreaming of Accountability to Affected Populations (AAP) mechanisms into programming,UNICEF,"Nairobi, KE",1d
Midwifery Refresher Program,Eastern Health,"Eastern Province, KE",New
Backend Engineer - Create: Knowledge and Editor,GitLab Inc.,"Nairobi, KE",6d
Financial Accountant,"Finance 1, L.L.C.","Western Province, KE",1d
SAICA Trainee Accountant,O'Dwyer Personnel,"Western Province, KE",1d
Technician: Radio,Denel Overberg Test Range,"Western Province, KE",1d
Officer - ASAL Agriculture & Livelihoods,Concern Worldwide,"Nakuru, KE",3d
Branch Admin Officer : Durbanville,AMPATH,"Western Province, KE",1d
Tutorial Fellow at KCA University,KCA University,"Nairobi, KE",3d
District Manager,OpenTable,"Eastern Province, KE",New
"MAC - Retail Artist - Truworths, Cavendish",The Estée Lauder Companies Inc.,"Western Province, KE",6d
Sales Executive,LESSO Group,肯尼亚 内罗毕,3d
Hospital Sales & Marketing Executive,Career Directions Ltd,"Nairobi, KE",1d
Mechanical Engineer,Hutech International Group,"Eastern Province, KE",3d
Swimming Teachers,Nova Pioneer,"Kiambu, KE",6d
Head of Supply Chain - Nairobi,Kenya Red Cross,"Nairobi, KE",6d
IT Field Technician - EUC - Port Elizabeth- Campus,Altron Bytes Managed Solutions,"Eastern Province, KE",4d
Casual Sales Assistant needed for Adult World Group in Port Elizabeth,THE CAROLE GROUP LIMITED,"Eastern Province, KE",6d
Senior Project and Change Manager,Not for Profit,"Western Province, KE",New
Production Analyst and Planner,PERSONA staff,"Western Province, KE",1d
Quality Control Administrator,Wirquin Manufacturing SA,"Eastern Province, KE",1d
Programme Officer (Law Enforcement Training) - Temporary,United Nations,"Mombasa, KE",4d
ICT Officer at Power Governors,power governors ltd,"Nairobi, KE",3d
Process Engineer,MRINetwork,"Eastern Province, KE",4d
Website Administator,Shimansky,"Western Province, KE",1d
Care Assistant,HC One Enterprises,"Western Province, KE",4d
Customer Service Representative,Public Storage,"Western Province, KE",4d
"Program Development Manager, Women Empowerment, Sexual Rights and Diversity - Nairobi",Hivos -Humanist Organisation for Social Change-,"Nairobi, KE",6d
Hotel Receptionist Fort Beaufort,Adventist Community Services,"Eastern Province, KE",New
Search Engine Evaluator English Speakers,Appen,"Eastern Province, KE",2d
Operations Manager – Retail,Corporate Staffing International,"Nairobi, KE",1d
Customer Sales Representative at Koko Networks,KOKO Networks,"Nairobi, KE",6d
Waitron (Full Time - Monday to Friday),Ultimate Solutions Search,"Western Province, KE",1d
REQUEST FOR PROPOSAL FOR THE MAPPING STUDY ON COMMERCIALIZATION OF PROSOPIS JULIFLORA IN TURKANA WEST COUNTY IN KENYA,DCA,"Nairobi, KE",3d
Sales Executive,Express Automation,Kenya,3d
"Regional Public Financial Management (PFM) Advisor, CARTAC, based in Barbados",International Monetary Fund,"Western Province, KE",1d
Associate Manager Customer Marketing,SC Johnson,"Nairobi, KE",New
Payroll Accountant at Sheer Logic,Sheer Logic,"Nairobi, KE",4d
General Manager,Radisson Hotel Group,"Nairobi, KE",3d
Operations controller,Philip International Corp,"Eastern Province, KE",New
Digital Marketing Officer at Africa Nazarene University,Africa Nazarene University,"Nairobi, KE",4d
FOOD AND BEVERAGE MANAGER - EASTERN CAPE - R12000 to R15000 Live in,Right Group,"Eastern Province, KE",New
ESL Teacher - China,China Work,"Western Province, KE",1d
Recruitment Consultant,RPO Services SA,"Western Province, KE",1d
School Leadership,"Department of Health & Human Services, Victoria","Western Province, KE",2d
Front End Developer (JavaScript),Datafin Recruitment,"Western Province, KE",1d
Agronomy,Yara International,"Nairobi, KE",5d
Branch Manager-Kakamega,Britam,"Kisumu, KE",New
"Legal Secretary - Private Client, Sidmouth (LSW3270)",Legal Southwest Ltd,"Western Province, KE",New
Trainee Accountant (SAICA/SAIPA) – George,Latitude Resource,"Western Province, KE",1d
Transport Planner,Diageo,"Nairobi, KE",1d
Field Service Technician,Hach,"Eastern Province, KE",4d
Plant Engineer,Boikago Group,"Eastern Province, KE",2d
Statistics Officer at Kenya Defence Forces,Defence Forces of Ireland,"Nairobi, KE",6d
Stagiaire hiver/printemps 2019,Google,"Nairobi, KE",2d
Opérateur de production H/F,CRIT France,"Meru, KE",3d
Quality Control Administrator,Wirquin,"Eastern Province, KE",1d
Food Technologist,Mass Staffing Projects,"Western Province, KE",1d
Invitation for Expression of Interest for Chief of Parties:Water and Development IDIQ,RTI International,"Nairobi, KE",6d
Nutrition Consultant,PolyCare Wellness Centre,"Nairobi, Kenya",1d
Growth and Enterprise Account Manager,CloudFactory.,"Nairobi, Kenya",2d
Data Analytics lead,Ona Data,Kenya,1d
Brand Strategist,One Acre Fund,"Nairobi, KE",2d
Machine Shop Process Technician,Lisa Black,"Eastern Province, KE",1d
"Associate / Assistant Manager, Agency Training-GEGM",GREAT EASTERN,"Eastern Province, KE",2d
Engineering Services Manager,Unilever,"Kericho, KE",2d
Sales Representative/Regional Trainer,Spatology Recruit,"Eastern Province, KE",1d
Server Administrator / Network Support,ADA Recruitment & HR Solutions,"Eastern Province, KE",1d
New & Trending – Nairobi Hospital Vacancies Available For You Today,The Nairobi Hospital,"Nairobi, KE",4d
Office Administrator / Receptionist,Helderberg Personnel,"Western Province, KE",1d
School Based Trainee – Murray Street,City Beach Australia,"Western Province, KE",6d
Laboratory Professionals: Cytotechnologist | JOB-2609641,CompHealth,"Western Province, KE",5d
Community Health Aide - Atria Park of Great Neck,Atria Senior Living,"Western Province, KE",1d
Finance Director,Page Executive,"Nairobi, KE",2d
System Analyst (Java Language),Peoplebank,"Eastern Province, KE",2d
Toimitusjohtaja Kankaan Palvelu Oy:lle,Skanska,"Western Province, KE",1d
Technical Support Manager at Gardaworld,GardaWorld,"Nairobi, KE",4d
Hazard Analysis and Critical Control Point Consultant at Sanergy,Sanergy,"Nairobi, KE",2d
"Principal Architect - $200,000/year USD - JobID #3293",Crossover for Work,"Nairobi, KE",2d
Junior Sales Engineer- PQ,Eaton,"Nairobi, KE",5d
Meter Readers at Kenya Power,Kenya Power,"Nairobi, KE",1d
Documentation Clerk,Imperial Logistics,"Nairobi, Kenya",New
Sales Rep (Internal),BUILDING,"Western Province, KE",5d
Sales & Service Assistant - Longreach,Suncorp Group,"Western Province, KE",5d
Direct Sales Agent,Griffin Insurance,"Nairobi, Kenya",3d
Director of Patient Safety Organization,Press Ganey,"Eastern Province, KE",2d
Chief Accountant,Puratos,"Nairobi, Kenya",1d
Accountant,ProDevelopment Group,"Western Province, KE",4d
Internal Client Support Consultant (Century City),Newsclip Media Monitoring,"Western Province, KE",1d
Teleseller (Half day) - Perseverance,Alpha Labour Solutions,"Western Province, KE",4d
Finance Business Partner - VIE Contract (W/M),Sanofi,"Nairobi, KE",2d
Internal Sales PRETORIA,Workforce Staffing,"Western Province, KE",6d
Research Associate II– Laboratory Technician,International Livestock Research Institute (ILRI),"Nairobi, KE",New
Tourism Coordinator,AFRICAWORK,"Eastern Province, KE",1w
Senior Sales Representative - Mombasa (Key Accounts),Suguna Foods Limited,"Mombasa, KE",1d
Merchandising Supervisor,Your Career Direction,"Eastern Province, KE",3d
New Car Sales Executive,Astor Motor Recruitment,"Western Province, KE",1d
Senior Property Manager,Tink Recruitment,"Eastern Province, KE",New
Babysitter or Au pair,BIANCA LIMITED,"Eastern Province, KE",3d
Agent accueil h/f,SUPPLAY,"Meru, KE",2d
Sales Manager - FMCG,Dawning Truth,"Eastern Province, KE",1d
Human Resource & Administration Officer,Frontier Optical Networks Ltd.,"Nairobi, KE",2d
Deputy Commissioner For Cooperative Development at Public Service Commission,Pensacola State College,"Nairobi, KE",4d
"Officer – Health and Nutrition, Research - North Horr",Concern Worldwide,"Nakuru, KE",New
Lease Adminstrator,Career Directions Ltd,"Nairobi, KE",New
"Manager.Security Intelligence, Investigations, Technical Protection & Integrity",Kenya Airways,"Nairobi, KE",1d
Senior Operations Officer at Mercy Corps,Mercy Corps,"Nairobi, KE",3d
"UX Manager, Dev",GitLab Inc.,"Nairobi, KE",3d
Assistant Production Manager,PERSONA staff,"Western Province, KE",1d
Servicetechniker/Elektrotechniker für die Life Science Flow Cytometry (m/w/d) im Großraum Hannover,Beckman Coulter Life Sciences,"Western Province, KE",4d
Restaurant Supervisor,Infinite Business Solutions,"Nairobi, Kenya",New
Principal Engineer - Backend (Technology),Andela,"Nairobi, KE",1d
No.1 Race Mechanic - Great Work/Life balance,Pioneer Selection Ltd,"Western Province, KE",2d
1:1 SEN Teaching Assistant,REED,"Western Province, KE",1d
SALES EXECUTIVE,Work Africa,"Eastern Province, KE",5d
"Programme Management Officer, Human Settlements (Temporary Job Opening)",United Nations,"Nairobi, KE",4d
Procurement Officer (2 posts) - Nairobi,Kenya Red Cross,"Nairobi, KE",6d
Branch Admin Officer : Kuilsrivier,AMPATH,"Western Province, KE",1d
Transport Controller,Tumaini Consulting,"Western Province, KE",1d
IT Field Technician - EUC - Cape Town - Project - Bytes Managed Solutions,Altron Bytes Managed Solutions,"Eastern Province, KE",4d
Customer Care Rep at Power Governors,power governors ltd,"Nairobi, KE",3d
Chief Financial Officer,Mr. Green Trading Africa Kenya Ltd.,"Nairobi, KE",2d
Legal Assistant at KCA University,KCA University,"Nairobi, KE",3d
Medical Officer at Kakamega County,Kakamega Golf Hotel Ltd.,"Nairobi, KE",1d
Specialist Recruiters,RPO Services SA,"Western Province, KE",1d
Mechanical Engineering Fellow,BURN Manufacturing,"Ruiru, KE",5d
Aftersales Consultant - Service Advisor,PerformIT Personnel,"Eastern Province, KE",3d
Graphic Designer at Africa Nazarene University,Africa Nazarene University,"Nairobi, KE",4d
CUSTOMER SERVICE REPRESENTATIVE | Job Fair 11.12.19,Public Storage,"Western Province, KE",2d
Production Supervisor,Visp,"Western Province, KE",1d
National Sales Account Manager,Safaricom PLC,"Nairobi, KE",New
Regional Finance Controller,Danish Refugee Council / Dansk Flygtningehjælp,"Nairobi, KE",2d
Chief Risk and Safety Officer,jobleads.com - Careers for Senior-Level Professionals,"Eastern Province, KE",2d
"Agent De Production (H/F), Meru",Adecco,"Meru, KE",6d
"Regional Public Financial Management (PFM) Advisor, CAPTAC-DR , based in Guatemala",International Monetary Fund,"Western Province, KE",New
"Deputy Director, Infrastructure and Project Management Group based in Denmark",UNOPS,Kenya,4d
Corporate Sales Executive - Micro Insurance Business,Britam,"Nairobi, KE",New
Digital Marketer (35-45K),Corporate Staffing International,"Nairobi, KE",6d
Senior Software Engineer C++ and QT (OpenGL preferred) (Delft Area),Trinamics,"Western Province, KE",3d
Maths Lit & Life Sciences ED-U COLLEGE (PORT ELIZABETH) NPC TEACHING POSITION 2020,ROXY,"Eastern Province, KE",2d
Journalist at Kenya Defence Forces,Defence Forces of Ireland,"Nairobi, KE",2d
Production Supervisor,MRINetwork,"Eastern Province, KE",4d
Head of Campaigns,Not for Profit,"Western Province, KE",New
German Tour Specialist Sales,Executive Placings,"Western Province, KE",1d
Consumer Movement Officer,Helderberg Personnel,"Western Province, KE",1d
School Based Trainee – Perth Water Town,City Beach Australia,"Western Province, KE",6d
Engage Life Program Instructor - Atria on Roslyn Harbor,Atria Senior Living,"Western Province, KE",2d
Integration Aide,"Department of Health & Human Services, Victoria","Western Province, KE",1d
"TRAVEL CONSULTANT – Cape Town, CBD - R15,000 NEG PER MONTH",West Coast Personnel,"Western Province, KE",1d
Pump Attendant at Sheer Logic,Sheer Logic,"Nairobi, KE",2d
Clerk of Works at Sanergy,Sanergy,"Nairobi, KE",2d
"HRO Intern- Westlands, Kenya",Summit Recruitment & Search,"Nairobi, KE",3d
Liberty Sales Advisor,Janeen Home Decor,"Eastern Province, KE",New
ADMIN CONTROLLER FOR LIQUOR STORE PORT ELIZABETH 0762065198,IAN,"Eastern Province, KE",2d
Patient / Outpatient Centre Attendants,The Nairobi Hospital,"Nairobi, KE",3d
7.5 Tonne Driver,JJ Food Service Limited,"Western Province, KE",New
Electrical/Electronic Engineer,Denel Overberg Test Range,"Western Province, KE",1d
Teach and Explore China with a legal working VISA,China Work,"Eastern Province, KE",2d
Tutor - Critical Care Nursing,Gertrude’s Children’s Hospital,"Nairobi, KE",6d
Technical Sales Consultant – Field Service in Poland,Phenomenex,"Eastern Province, KE",New
Sales Executive,Tilisi Developments PLC,"Nairobi, Kenya",New
Senior Marketing Manager,Moko Home + Living,"Nairobi, Kenya",1d
Sales Executives,Mirk,"Eastern Province, KE",2d
"Tractor & Trailer Mechanics Needed - $ 1,000.00 Sign on Bonus",FleetJobs.com,"Western Province, KE",5d
CEO // GENERAL MANAGER (Port Elizabeth),Sharon Inc.,"Eastern Province, KE",5d
Hospital Director,VetPartners Australia and New Zealand,"Eastern Province, KE",6d
Global Media Officer (Humanitarian),Oxfam-Québec,"Nairobi, KE",3d
Conseiller en immobilier,Corp. immobilier,"Meru, KE",3d
