Job Title,Company,Location,Remote,Relocation,Compensation,tags
Head of Engineering (f/m/div) for our venture Joonko,FinLeap GmbH,"Berlin, Germany",,Paid relocation,,"java,reactjs,aws,spring-boot,postgresql"
golang - DevOps Engineer,"Grassroots Technologies, Inc",No office location,Remote,,$156k - 264k,"go,linux,jenkins,devops,http,sysadmin"
Data Engineer,SafetyCulture,"Surry Hills, Australia",,,"A$90k - 130k

                         | 
Equity","scala,apache-kafka,amazon-redshift"
Paid Research Study for Cloud Developers with Docker Experience,User Research International,No office location,Remote,,,"github,amazon-web-services,azure,aws-codebuild,aws-codepipeline"
Engineering Manager,Catawiki,"Amsterdam, Netherlands",,Paid relocation,Equity,"reactjs,ruby-on-rails,mysql,go,microservices"
Node.js Back-End Developer,Xara Group Ltd,No office location,Remote,,€40k - 60k,"node.js,javascript,bash,linux,docker"
Health Informatician/ Data Manager,Wellcome Sanger Institute,"Cambridge, UK",,Paid relocation,£37k - 44k,"statistics,bioinformatics,computer-science"
Senior Full Stack Engineer - Zendesk Explore (analytics product),Zendesk,"Dublin, Ireland",,Paid relocation,,"ruby-on-rails,javascript,ruby,scala,amazon-web-services"
Custom Application Developer,Appian,"Tysons, VA",,,,"java,python,sql,database,mysql"
Native Mobile App Developer,Torus Labs Pte Ltd,Singapore,,,"SGD 60k - 108k

                         | 
Equity","security,ios,android,react-native"
Quality Assurance Engineer,Torus Labs Pte Ltd,Singapore,,,"SGD 60k - 108k

                         | 
Equity","qa,javascript,go,shell"
Interaction Engineer,Balena,No office location,Remote,,,"node.js,reactjs,coffeescript,javascript"
Design Course Mentor,Thinkful Inc.,No office location,Remote,,$13k - 33k,"design,user-experience,html,css,balsamiq"
Senior Frontend Engineer,Impala,No office location,Remote,,"£50k - 80k

                         | 
Equity","reactjs,amazon-web-services"
"Senior Full Stack Engineer (Node.js, React)",Namaste Technologies,No office location,Remote,,$45k - 90k,"node.js,javascript,reactjs"
