Job,Category,Company,Location,Compensation,Link
Regional Director,Sales,Grade,Cape Town,$35k – $45k • No equity,https://angel.co/company/grade-6/jobs/661508-regional-director
Creative Director,Designer,Luno,Cape Town,,https://angel.co/company/lunomoney/jobs/659765-creative-director
Head of Product Design,Designer,Luno,Cape Town,,https://angel.co/company/lunomoney/jobs/669446-head-of-product-design
Global Performance Marketing Specialist,Marketing,Luno,London,,https://angel.co/company/lunomoney/jobs/649139-global-performance-marketing-specialist
Brand Ambassador - UK,Marketing,Luno,London,,https://angel.co/company/lunomoney/jobs/653230-brand-ambassador-uk
Technical Writer,Marketing,Luno,Cape Town,,https://angel.co/company/lunomoney/jobs/657641-technical-writer
UX Writer,Marketing,Luno,Cape Town,,https://angel.co/company/lunomoney/jobs/672814-ux-writer
Data Operations Engineer (DataOps),Operations,Luno,Johannesburg,,https://angel.co/company/lunomoney/jobs/529319-data-operations-engineer-dataops
Customer Success Associate,Operations,Luno,Jakarta,,https://angel.co/company/lunomoney/jobs/560892-customer-success-associate
Customer Success Associate,Sales,Luno,Cape Town,,https://angel.co/company/lunomoney/jobs/618595-customer-success-associate
Customer Success Associate,Sales,Luno,Malaysia,,https://angel.co/company/lunomoney/jobs/655773-customer-success-associate
Country Manager - South Africa,Sales,Luno,Johannesburg,,https://angel.co/company/lunomoney/jobs/669102-country-manager-south-africa
Site Reliability Engineer (SRE/DevOps),Software Engineer,Luno,Cape Town,,https://angel.co/company/lunomoney/jobs/412978-site-reliability-engineer-sre-devops
Production Support Manager,Software Engineer,Luno,Cape Town,$50k – $70k • No equity,https://angel.co/company/lunomoney/jobs/413028-production-support-manager
Software Engineer - Web Frontend,Software Engineer,Luno,Johannesburg,,https://angel.co/company/lunomoney/jobs/442220-software-engineer-web-frontend
Software Engineer Manager,Software Engineer,Luno,Singapore,,https://angel.co/company/lunomoney/jobs/451703-software-engineer-manager
Test Job,Software Engineer,Luno,India,,https://angel.co/company/lunomoney/jobs/467325-test-job
Software Test Job,Software Engineer,Luno,Borås,,https://angel.co/company/lunomoney/jobs/483398-software-test-job
Job Board Form Testing,Software Engineer,Luno,India,,https://angel.co/company/lunomoney/jobs/484100-job-board-form-testing
Software Engineer,Software Engineer,Luno,Cape Town,,https://angel.co/company/lunomoney/jobs/488037-software-engineer
