Job Title,Company,Location,Job Link,Employment Type,Compensation,Date Posted
Devops Engineer,Emerge,"Cape Town CBD, Western Cape",https://www.careerjunction.co.za/jobs/view/2334249/devops-engineer-in-cape-town-cbd-western-cape-at-emerge,Contract Intermediate position,R560 - R580 ph cost to company,25/09/2019
Technical Lead .NET,Nigel Frank International,"Cape Town, Western Cape",https://www.careerjunction.co.za/jobs/view/2334172/technical-lead-.net-in-cape-town-western-cape-at-nigel-frank-international,Permanent Senior position,Market Related basic salary Neg,25/09/2019
Programmer Developer Documentum CH454,Capital H Staffing,"Stellenbosch, Western Cape",https://www.careerjunction.co.za/jobs/view/2320359/programmer-developer-documentum-ch454-in-stellenbosch-western-cape,Permanent Intermediate position,Undisclosed basic salary,25/09/2019
Senior C#.NET Developer,Fourier Recruitment,"Tygervalley, Western Cape",https://www.careerjunction.co.za/jobs/view/2334078/senior-c%23.net-developer-in-tygervalley-western-cape-at-fourier-recruitment,Permanent Senior position,"R40,000 - R60,000 pm cost to company",24/09/2019
.NET Developer,Nigel Frank International,"Cape Town, Western Cape",https://www.careerjunction.co.za/jobs/view/2334071/.net-developer-in-cape-town-western-cape-at-nigel-frank-international,Permanent Intermediate position,Market Related cost to company Neg,24/09/2019
Lead Developer,Nigel Frank International,"Cape Town, Western Cape",https://www.careerjunction.co.za/jobs/view/2334059/lead-developer-in-cape-town-western-cape-at-nigel-frank-international,Permanent Intermediate position,Market Related basic salary Neg,24/09/2019
Technical Lead .NET,Nigel Frank International,"Cape Town, Western Cape",https://www.careerjunction.co.za/jobs/view/2334058/technical-lead-.net-in-cape-town-western-cape-at-nigel-frank-international,Permanent Senior position,Market Related basic salary Neg,24/09/2019
Senior Python Developer,MIT Recruitment,"Cape Town CBD, Western Cape",https://www.careerjunction.co.za/jobs/view/2319256/senior-python-developer-in-cape-town-cbd-western-cape,Permanent Senior position,Undisclosed cost to company incl benefits,23/09/2019
IOS Developer,MIT Recruitment,"Cape Town CBD, Western Cape",https://www.careerjunction.co.za/jobs/view/2319260/ios-developer-in-cape-town-cbd-western-cape,Permanent Senior position,Undisclosed cost to company,23/09/2019
Senior iOS Developer,Network IT Bruma,"Johannesburg North, Gauteng",https://www.careerjunction.co.za/jobs/view/2333958/senior-ios-developer-in-johannesburg-north-gauteng,Permanent Senior position,"R600,000 - R700,000 pa cost to company",23/09/2019
Senior Developer,Nigel Frank International,"Cape Town, Western Cape",https://www.careerjunction.co.za/jobs/view/2333895/senior-developer-in-cape-town-western-cape-at-nigel-frank-international,Permanent Intermediate position,Market Related basic salary plus benefits Neg,23/09/2019
Senior Java Developer,e-Merge IT Recruitment,"Midrand, Gauteng",https://www.careerjunction.co.za/jobs/view/2319869/senior-java-developer-in-midrand-gauteng,Contract Senior position,R745 - R750 ph basic salary,23/09/2019
Senior Java Developer P H,e-Merge IT Recruitment,"Midrand, Gauteng",https://www.careerjunction.co.za/jobs/view/2320120/senior-java-developer-p-h-in-midrand-gauteng,Contract Senior position,R700 - R750 ph basic salary,23/09/2019
Senior Back-End Developer,Nigel Frank International,"Cape Town, Western Cape",https://www.careerjunction.co.za/jobs/view/2333841/senior-back-end-developer-in-cape-town-western-cape-at-nigel-frank-international,Permanent Senior position,Market Related basic salary plus benefits Neg,21/09/2019
