Job,Category,Company,Location,Compensation,Link
Partnership Manager Egypt,Sales,seedstars.com,Cairo Governorate,,https://angel.co/company/seedstars-com-1/jobs/603657-partnership-manager-egypt
Social Media Specialist,Sales,seedstars.com,Remote,$5k – $30k • No equity,https://angel.co/company/seedstars-com-1/jobs/611606-social-media-specialist
Acceleration EIR,Sales,seedstars.com,Bogota,,https://angel.co/company/seedstars-com-1/jobs/611662-acceleration-eir
Partnership Manager Asia,Sales,seedstars.com,Singapore,$4k – $35k • No equity,https://angel.co/company/seedstars-com-1/jobs/637243-partnership-manager-asia
Full Stack Software Engineer,Software Engineering,seedstars.com,Covilha,,https://angel.co/company/seedstars-com-1/jobs/513401-full-stack-software-engineer
Python/ReactJS Software Engineer Intern,Software Engineering,seedstars.com,Covilha,,https://angel.co/company/seedstars-com-1/jobs/513403-python-reactjs-software-engineer-intern
Full Stack Software Engineer,Software Engineering,seedstars.com,Covilha,,https://angel.co/company/seedstars-com-1/jobs/621666-full-stack-software-engineer
IT Technical Support Engineer,Engineering,RECOURS FOUR KENYA CONSULTANTS,Nairobi,$1k – $3k • No equity,https://angel.co/company/recours-four-kenya-consultants-1/jobs/586510-it-technical-support-engineer
Civil Engineer,Engineering,RECOURS FOUR KENYA CONSULTANTS,Nairobi,$1k – $3k • No equity,https://angel.co/company/recours-four-kenya-consultants-1/jobs/588616-civil-engineer
Technical Services Representatives,Operations,RECOURS FOUR KENYA CONSULTANTS,Nairobi,$1k – $2k • No equity,https://angel.co/company/recours-four-kenya-consultants-1/jobs/587098-technical-services-representatives
Customer Technical Services Officer,Sales,RECOURS FOUR KENYA CONSULTANTS,Nairobi,$2k – $3k • No equity,https://angel.co/company/recours-four-kenya-consultants-1/jobs/587094-customer-technical-services-officer
Automotive Business Intelligence Associate,Sales,RECOURS FOUR KENYA CONSULTANTS,Nairobi,$30k – $100k • 40.0% – 50.0%,https://angel.co/company/recours-four-kenya-consultants-1/jobs/612059-automotive-business-intelligence-associate
