Job,Job Link,Company,Company Link,Salary Range,Contract Type
Director Revenue Management,https://www.fuzu.com/jobs/director-revenue-management-county-government-of-migori,County Government of Migori,https://www.fuzu.com/company/county-government-of-migori,Confidential,Permanent
Business Development Manager - Custom Solutions,https://www.fuzu.com/jobs/business-development-manager-custom-solutions-strathmore-university,Strathmore University,https://www.fuzu.com/company/strathmore-university,Confidential,Permanent
Municipal Manager,https://www.fuzu.com/jobs/municipal-manager-county-government-of-taita-taveta-436ec654,County Government of Taita Taveta,https://www.fuzu.com/company/county-government-of-taita-taveta,Confidential,Permanent
Training and Development Manager,https://www.fuzu.com/jobs/training-and-development-manager-novo-nordisk,Novo Nordisk,https://www.fuzu.com/company/novo-nordisk,Confidential,Permanent
Regional Assistant,https://www.fuzu.com/jobs/regional-assistant-inter-agency-working-group,Inter Agency Working Group,https://www.fuzu.com/company/inter-agency-working-group,Confidential,Permanent
Clerk Of Works,https://www.fuzu.com/jobs/clerk-of-works-nft-consult,NFT Consult,https://www.fuzu.com/company/nft-consult,Confidential,Permanent
Technical Project Manager,https://www.fuzu.com/jobs/technical-project-manager-nft-consult,NFT Consult,https://www.fuzu.com/company/nft-consult,Confidential,Permanent
Hazard Analysis and Critical Control Points (HACCP) Consultant - Product Quality & Safety,https://www.fuzu.com/jobs/hazard-analysis-and-critical-control-points-haccp-consultant-product-quality-safety-nft-consult,NFT Consult,https://www.fuzu.com/company/nft-consult,Confidential,Temporary
Cashier,https://www.fuzu.com/jobs/cashier-ruaraka-uhai-neema-hospital,Ruaraka Uhai Neema Hospital,https://www.fuzu.com/company/ruaraka-uhai-neema-hospital,Confidential,Permanent
QSSK-LTK-HOF Head of Finance Operations,https://www.fuzu.com/jobs/qssk-ltk-hof-head-of-finance-operations-q-sourcing-limited,Q-sourcing Limited,https://www.fuzu.com/company/q-sourcing-limited,Confidential,Permanent
KMPL Project Associate,https://www.fuzu.com/jobs/kmpl-project-associate-kenya-medical-association,Kenya Medical Association,https://www.fuzu.com/company/kenya-medical-association,Confidential,Permanent
