Job,Company,Location,Days posted
Diesel Mechanic,Abantu Staffing Solutions (Pty) Ltd,"Eastern Province, KE",4d
LV Fitter - Advanced (Leading Hand),Fortescue Metals Group,"Western Province, KE",4d
Fitter and Turner,Affinity Staffing Group,"Eastern Province, KE",4d
Poly Welders,mk2,"Western Province, KE",4d
"Registered Nurse, Enrolled Nurse and Enrolled Nurse Auxiliary",Intelligent Placement,"Western Province, KE",1d
"Chief Technology Officer - $400,000/year USD - JobID #3370Promoted",Crossover for Work,"Nairobi, KE",New
"Senior Software Support Engineer - $100,000/year USD - JobID #4132Promoted",Crossover for Work,"Nairobi, KE",New
"Manager, Credit Control - GEGMPromoted",GREAT EASTERN,"Eastern Province, KE",3d
Sales And Marketing Representative,Alliance In Motion Global Incorporated,,
Production Manager,West Coast Personnel,"Western Province, KE",2d
Student Intern.Cargo Accounting,Kenya Airways,"Nairobi, KE",2d
Paraplanner,Latitude Resource,"Western Province, KE",2d
Locum Tenens - Family Practice - Virginia,Catapult Healthcare,"Western Province, KE",2d
Procurement & Imports Controller,Summit Recruitment & Search,"Nairobi, KE",1d
Beauty Advisor - Despatch,Clicks Group,"Western Province, KE",4d
TV Productions Business Executive,Kenya Red Cross,"Nairobi, KE",6d
Grants Finance Specialist,One Acre Fund,"Nairobi, KE",5d
Chief Operating Officer,BURN Manufacturing,"Ruiru, KE",4d
Water Resources Management Analyst,World Bank Group,"Nairobi, KE",4d
Level 1 Support Engineer,NFT Consult,"Nairobi, KE",3d
External Sales Representative,Métier Recruitment SA,"Western Province, KE",4d
Senior Group Finance Manager,GAP Consulting,"Western Province, KE",2d
3PL Transport Manager,Tumaini Consulting,"Western Province, KE",2d
Apprentice Diesel Mechanic,Staffing,"Eastern Province, KE",6d
Systems Architect / Senior Developer,e-Merge IT Recruitment,"Eastern Province, KE",4d
Registered Nurse: ICU Qualified,ADA Recruitment & HR Solutions,"Western Province, KE",4d
Assistant Scientist-Water & Sanitation,World Agroforestry,"Nairobi, KE",6d
"Relief Social Care Assistant, Dun Eisdean (3061) - CNS01898",Comhairle Nan Eilean Siar,"Western Province, KE",2d
Study Support Assistant,Department of Health (WA Health),"Western Province, KE",5d
Manufacturing GIT,Coca-Cola Beverages Africa,Kenya,4d
Dental Technician - Dentures - SupportPromoted,Aspen Dental,"Western Province, KE",4d
