Job Title,Company,Location,Salary,Job_link,Company Link
"Business Development Manager, Ghana",Bloom Impact,Boston • Accra •,$10k – $14k,https://angel.co/company/bloomimpact/jobs/638107-business-development-manager-ghana,https://angel.co/company/bloomimpact
VP Finance,She Leads Africa,Lagos •,$20k – $22k,https://angel.co/company/she-leads-africa-2/jobs/622633-vp-finance,https://angel.co/company/she-leads-africa-2
Team Supervisor,Globegate West Africa,Lagos,$50k – $78k • 0.0% – 0.15%,https://angel.co/company/globegate-west-africa/jobs/582791-team-supervisor,https://angel.co/company/globegate-west-africa
Head of Genetics,ELXR,Singapore,$24k – $36k • 0.5% – 1.0%,https://angel.co/company/elxr-1/jobs/386582-head-of-genetics,https://angel.co/company/elxr-1
Product Marketing Manager,Maple Media,os Angeles • Century City •,$65k – $95k AngelList Est.,https://angel.co/company/maplemedia/jobs/573467-product-marketing-manager,https://angel.co/company/maplemedia
Sales Manager - B2B,Vapulus,Giza •,$10k – $11k,https://angel.co/company/vapulus/jobs/682563-sales-manager-b2b,https://angel.co/company/vapulus
Summer Intern - Autonomous Vehicle Simulation,Azevtec,Golden • Ado •,No salary,https://angel.co/company/azevtec/jobs/711053-summer-intern-autonomous-vehicle-simulation,https://angel.co/company/azevtec
Summer Intern - Software Engineering,Azevtec,Golden • Ado •,No salary,https://angel.co/company/azevtec/jobs/699298-summer-intern-software-engineering,https://angel.co/company/azevtec
Summer Intern - Systems Engineering,Azevtec,Golden • Ado •,No salary,https://angel.co/company/azevtec/jobs/699299-summer-intern-systems-engineering,https://angel.co/company/azevtec
Marketing Executive,indian dental academy,Kenya •,$200k – $250k,https://angel.co/company/indian-dental-academy/jobs/630686-marketing-executive,https://angel.co/company/indian-dental-academy
"drivers code10,14(0661500470)",JOEL GOLD MINE,Free State,$12k – $13k • 2.5% – 5.0%,https://angel.co/company/joel-gold-mine-1/jobs/656458-drivers-code10-14-0661500470,https://angel.co/company/joel-gold-mine-1
CTO,Find me Football,Cairo Governorate,$2k – $5k • 5.0% – 20.0%,https://angel.co/company/find-me-footbball/jobs/422219-cto,https://angel.co/company/find-me-footbball
Sales Manager,Utility SubMetering Systems,Nairobi •,$12k – $30k,https://angel.co/company/utility-submetering-systems/jobs/530718-sales-manager,https://angel.co/company/utility-submetering-systems
Sales & Accounts Coordinator,BLACK PURIST MEDIA,Abuja,£2k – £4k • 1.0% – 3.0%,https://angel.co/company/black-purist-media-1/jobs/413711-sales-accounts-coordinator,https://angel.co/company/black-purist-media-1
CTO,ECARE,Kaduna,$2k – $3k • 5.0% – 6.5%,https://angel.co/company/ecare-1/jobs/472006-cto,https://angel.co/company/ecare-1
Tech Director,Rabbit,Cairo Governorate • Cairo,$1k – $1k • 3.0% – 5.0%,https://angel.co/company/rabbit-7/jobs/660644-tech-director,https://angel.co/company/rabbit-7
Senior PHP Laravel Developer,Community of Babel,Cairo Governorate,$1k – $2k • 5.0% – 7.0%,https://angel.co/company/community-of-babel-1/jobs/596788-senior-php-laravel-developer,https://angel.co/company/community-of-babel-1
Administration clerk,Lace Diamond Mine,Pretoria • Free State • Germiston •,$1k – $2k,https://angel.co/company/lace-diamond-mine/jobs/606033-administration-clerk,https://angel.co/company/lace-diamond-mine
